,heuristic,board,correlation,sample_number
389,linear,6_hard_pruned,0.611171157,7
390,non-linear,10_easy_full,0.35777615,7
391,non-linear,10_easy_pruned,0.577248182,7
392,non-linear,10_hard_full,0.585493782,7
393,non-linear,10_hard_pruned,0.319417701,7
394,non-linear,10_medium_full,0.503668747,7
395,non-linear,10_medium_pruned,0.372581624,7
396,non-linear,6_easy_full,0.778026168,7
397,non-linear,6_easy_pruned,0.523207827,7
398,non-linear,6_hard_full,0.336928283,7
399,non-linear,6_hard_pruned,0.343793626,7
400,blocking,10_easy_full,0.49097295,8
401,blocking,10_easy_pruned,0.653898573,8
402,blocking,10_hard_full,0.716882302,8
403,blocking,10_hard_pruned,0.592954672,8
404,blocking,10_medium_full,0.430921928,8
405,blocking,10_medium_pruned,0.635160182,8
406,blocking,6_easy_full,0.836371383,8
407,blocking,6_easy_pruned,0.4378939,8
408,blocking,6_hard_full,0.680120292,8
409,blocking,6_hard_pruned,0.697066944,8
410,density,10_easy_full,0.011415813,8
411,density,10_easy_pruned,0.243679579,8
412,density,10_hard_full,0.179293687,8
413,density,10_hard_pruned,0.222013324,8
414,density,10_medium_full,0.386265052,8
415,density,10_medium_pruned,0.152923588,8
416,density,6_easy_full,0.418061849,8
417,density,6_easy_pruned,0.398667061,8
418,density,6_hard_full,0.081021266,8
419,density,6_hard_pruned,0.26699596,8
420,interaction,10_easy_full,0.575957113,8
421,interaction,10_easy_pruned,0.598011708,8
422,interaction,10_hard_full,0.59492529,8
423,interaction,10_hard_pruned,0.450888732,8
424,interaction,10_medium_full,0.211889861,8
425,interaction,10_medium_pruned,0.613437068,8
426,interaction,6_easy_full,0.809346106,8
427,interaction,6_easy_pruned,0.628536074,8
428,interaction,6_hard_full,0.344437717,8
429,interaction,6_hard_pruned,0.591595815,8
430,linear,10_easy_full,0.319642188,8
431,linear,10_easy_pruned,0.352915287,8
432,linear,10_hard_full,0.639077311,8
433,linear,10_hard_pruned,0.50058623,8
434,linear,10_medium_full,0.440329613,8
435,linear,10_medium_pruned,0.340209466,8
436,linear,6_easy_full,0.777818236,8
437,linear,6_easy_pruned,0.633096208,8
438,linear,6_hard_full,0.510287066,8
439,linear,6_hard_pruned,0.583050072,8
440,non-linear,10_easy_full,0.455652053,8
441,non-linear,10_easy_pruned,0.600462341,8
442,non-linear,10_hard_full,0.413630683,8
443,non-linear,10_hard_pruned,0.415398797,8
444,non-linear,10_medium_full,0.455633782,8
445,non-linear,10_medium_pruned,0.633456398,8
446,non-linear,6_easy_full,0.92769774,8
447,non-linear,6_easy_pruned,0.613971816,8
448,non-linear,6_hard_full,0.56477092,8
449,non-linear,6_hard_pruned,0.505284244,8
450,blocking,10_easy_full,0.6030518,9
451,blocking,10_easy_pruned,0.61784882,9
452,blocking,10_hard_full,0.701076176,9
